
ELEMENTARY ARABIC I,01:013:140,01,05401
ELEMENTARY ARABIC I,01:013:140,02,05403
ELEMENTARY ARABIC II,01:013:141,01,05405
ELEMENTARY ARABIC II,01:013:141,02,05407
ELEM MODERN HEBREW,01:013:153,01,05409
ELEMENTARY HINDI I,01:013:160,01,05411
ELEMENTARY HINDI II,01:013:161,01,05413
ELEMENTARY URDU II,01:013:163,90,05415
ELEMENTARY PERSIAN II,01:013:177,01,05416
ELEMENTARY TURKISH II,01:013:191,01,05419
ELEMENTARY TWI II,01:013:193,01,18949
ELEMENTARY YORUBA,01:013:195,90,18947
"CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND S..",01:013:201,90,05422
"LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH..",01:013:203,90,05424
CULTURAL FORCES IN INTERNATIONAL POLITICS,01:013:205,01,05425
WORLD LITERATURE AND SOCIAL CHANGE,01:013:210,90,05426
AFRICAN IMMIGRANT LITERATURE,01:013:217,01,05427
INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST,01:013:221,01,05428
GLOBAL ARABIC,01:013:225,90,05431
RHYTHMS OF RESISTANCE: GLOBAL HIP HOP,01:013:226,01,05433
RHYTHMS OF RESISTANCE: GLOBAL HIP HOP,01:013:226,02,05434
INTERMEDIATE ARABIC II,01:013:241,01,05437
INTERMEDIATE ARABIC II,01:013:241,02,05439
INTERMED MOD HEBREW,01:013:253,01,05441
INTERMEDIATE HINDI II,01:013:261,90,05443
INTERMEDIATE PERSIAN II,01:013:277,01,05444
LANGUAGE AND GLOBALIZATION,01:013:285,01,05448
LANGUAGE AND GLOBALIZATION,01:013:285,02,05447
INTERMEDIATE TURKISH II,01:013:291,01,05449
INTRODUCTION TO TRANSLATION STUDIES,01:013:304,01,05452
LANGUAGES IN PERIL,01:013:305,90,05454
LANGUAGES IN PERIL,01:013:305,91,19349
INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES,01:013:307,01,05455
ISLAM AND AFRICIAN LITERATURE,01:013:314,01,05457
INDEPENDENT STUDY,01:013:321,01,05458
WOMEN WRITERS OF THE ARAB WORLD,01:013:325,01,05459
ADVANCED ARABIC II,01:013:341,01,05461
ADV MODERN HEBREW,01:013:353,01,05463
ADVANCED HINDI II,01:013:361,90,05465
ADVANCED TURKISH,01:013:391,01,05469
MODERN URDU LITERATURE AND POPULAR CULTURE,01:013:433,01,05471
STORYTELLING IN THE MUSLIM WORLD,01:013:445,01,05472
TOPICS IN AFRICANA STUDIES,01:014:101,M2,05473
INTRODUCTION TO AFRICANA STUDIES,01:014:103,01,05474
INTRODUCTION TO AFRICANA STUDIES,01:014:103,02,05475
INTRODUCTION TO AFRICANA STUDIES,01:014:103,03,05476
INTRODUCTION TO AFRICANA STUDIES,01:014:103,04,05477
BLACK EXPERIENCE AND FILM MEDIUM,01:014:132,01,05478
INTRODUCTION TO AMERICAN CULTURES,01:014:140,MA,05479
BLACK EXPERIENCE IN AMERICA,01:014:203,01,05481
THE BLACK WOMAN,01:014:206,01,05483
BLACK MALE IDENTITY IN THE UNITED STATES,01:014:207,01,05485
FEELING RACE: THE EMOTIONAL POLITICS OF RACE,01:014:214,01,05486
INDEPENDENT STUDY,01:014:224,01,05487
INTRODUCTION TO RESEARCH IN AFRICANA    STUDIES,01:014:233,01,05488
MENTORING AS PUBLIC SERVICE I,01:014:286,01,05489
TOPICS IN AFRICANA STUDIES,01:014:302,02,05491
TOPICS IN AFRICANA STUDIES,01:014:302,03,05492
TOPICS IN AFRICANA STUDIES,01:014:302,04,05493
AFROMUSICOLOGY,01:014:304,01,05496
"RACE, INTERNATIONAL LAW AND EMPIRE",01:014:305,01,05497
AFRICANA COMMUNITY HEALTHCARE EXPERIENCEPERSPECTIVES FR..,01:014:307,01,05499
BLACK PROFILES,01:014:317,01,05500
SUPERVISED COMMUNITY PLACEMENT,01:014:341,01,05501
HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY,01:014:347,01,05502
BLACK COMMUNITY LAW AND SOCIAL CHANGE,01:014:353,01,05503
"BLACK IDENTITY, RELIGION AND POLITICS",01:014:362,01,05504
PAN-AFRICAN MOVEMENT,01:014:376,01,05505
BLACKS IN SCIENCE,01:014:380,01,05506
MENTORING AS PUBLIC SERVICE II,01:014:385,01,05507
AFRICAN AMERICANS & SPORTS,01:014:386,01,00046
RACE IN TODAY'S WORLD,01:014:404,90,05508
BLACK THOUGHT,01:014:423,01,05509
SEMINAR IN AFRICANA STUDIES,01:014:490,01,05511
SEMINAR IN AFRICANA STUDIES,01:014:490,02,05512
INDEPENDENT STUDY,01:014:492,01,05513
AFRICANA STUDIES SCHOLARS PROJECT,01:014:498,01,05514
ANTHRO OF AFRICA,01:016:243,01,05515
IND STY AFRICAN AREA,01:016:302,01,05517
DIRECT INTRN AFR STY,01:016:304,01,05518
INTRODUCTION TO AMERICAN STUDIES,01:050:101,01,05520
INTRODUCTION TO RACE AND ETHNICITY IN AMERICA,01:050:102,01,05521
THE AMERICAN WEST,01:050:203,01,18313
THE BLACK EXPERIENCE IN AMERICA,01:050:246,01,05482
ASIAN AMERICAN HISTORY,01:050:253,01,05525
AMERICAN FOLKLIFE,01:050:264,01,05527
CULT FILMS IN AMERICAN CULTURE,01:050:266,01,05528
"AMERICAN FOOD, PAST AND PRESENT",01:050:272,01,05530
TOPICS IN AMERICAN STUDIES,01:050:282,01,05531
TOPICS IN AMERICAN STUDIES,01:050:282,02,05532
TOPICS IN AMERICAN STUDIES,01:050:284,MB,05533
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,B1,05534
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,C1,05535
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,C2,05536
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,D1,05537
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,G1,05538
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,I1,05539
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,K1,05540
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,S1,05541
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,S2,05542
INDEPENDENT STUDY IN AMERICAN CULTURE,01:050:286,U1,05543
TOPICS IN AMERICAN STUDIES,01:050:300,01,05544
TOPICS IN AMERICAN STUDIES,01:050:302,01,05546
TOPICS IN AMERICAN STUDIES,01:050:302,02,18077
AMERICAN DETECTIVE FICTION AND FILM,01:050:306,90,05548
APPROACHES TO AMERICAN STUDIES,01:050:310,01,05549
TWENTY-FIRST CENTURY EXPRESSION: ON AND OFF THE NET,01:050:316,01,05550
AMERICAN HORROR,01:050:323,90,05551
WAYWARD AMERICANS,01:050:324,90,05552
NATIVE AMERICAN LITERATURE IN ENGLISH,01:050:376,01,05553
ASIAN-AMERICAN LITERATURES IN ENGLISH,01:050:377,01,05556
INTERNSHIP IN AMERICAN STUDIES,01:050:381,01,05558
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,A1,05559
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,C1,05560
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,C2,05561
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,G1,05562
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,K1,05563
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,S1,05564
INDEPENDENT STUDY/PROJECT IN AMERICAN CULTURE,01:050:391,S2,05565
SEMINAR IN FOLK FESTIVAL MANAGEMENT,01:050:450,01,05566
SEMINAR IN AMERICAN STUDIES,01:050:489,01,05567
CULTURE AND SOCIAL LIFE,01:070:101,01,05573
CULTURE AND SOCIAL LIFE,01:070:101,02,05574
CULTURE AND SOCIAL LIFE,01:070:101,03,05575
CULTURE AND SOCIAL LIFE,01:070:101,H1,05576
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,01,05577
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,02,05578
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,03,05579
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,04,05580
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,05,05581
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,06,05582
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,07,05583
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,08,05584
INTRODUCTION TO HUMAN EVOLUTION,01:070:102,09,05585
INTRO TO ARCHAEOLOGY,01:070:105,01,05586
INTRO TO ARCHAEOLOGY,01:070:105,02,05587
INTRO TO ARCHAEOLOGY,01:070:105,03,05588
INTRO TO ARCHAEOLOGY,01:070:105,04,05589
INTRO TO ARCHAEOLOGY,01:070:105,05,05590
INTRO TO ARCHAEOLOGY,01:070:105,06,05591
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,01,05592
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,02,05593
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,03,05594
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,04,05595
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,05,05596
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,06,05597
"LANGUAGE, CULTURE, AND SOCIETY",01:070:108,H1,05598
ANTHROPOLOGY OF ROBOTS AND ARTIFICIAL INTELLIGENCE,01:070:161,MA,05599
GREAT EXCAVATIONS IN THE GARDEN STATE,01:070:162,MA,05600
GREAT EXCAVATIONS IN THE GARDEN STATE,01:070:162,MB,05601
ISLANDS AND LOST CONTINENTS,01:070:163,MA,05602
ARCHAEOLOGY MURDER MYSTERIES,01:070:164,M1,05603
ARCHAEOLOGY MURDER MYSTERIES,01:070:164,MA,05604
EVOLUTION AND HUMAN BEHAVIOR,01:070:201,01,05605
"CLIMATE CHANGE, DISASTER, AND           RECONSTRUCTION",01:070:203,01,05606
PREHISTORIC ARCHAEOLOGY OF EUROPE,01:070:207,01,05607
THE LIFE OF PRIMATES,01:070:212,01,05608
ANTHRO OF LATIN AMER,01:070:223,01,05610
CAPITALISM AND DEBT,01:070:224,01,05611
ANTHRO OF AFRICA,01:070:243,01,05516
ANTHRO OF CHINA,01:070:248,01,05613
BREAKING THE GLASS CEILING: WOMEN RELIGIOUS LEADERS,01:070:284,04,17797
SPECIAL TOPICS IN ANTHROPOLOGY,01:070:291,MA,05614
CURRENT ISSUES IN EVOLUTIONARY          ANTHROPOLOGY,01:070:297,01,05615
QUANTITATIVE METHODS IN                 EVOLUTIONARY AN..,01:070:316,01,05617
READ ETHNOG WRITING,01:070:318,01,05618
LIFE IN THE PLEISTOCENE,01:070:326,01,05619
CARIBBEAN ARCHAEOLOGY,01:070:339,01,05620
"LANGUAGE, FOOD, AND SOCIETY",01:070:341,01,05621
HUMAN VARIATION,01:070:356,01,05622
ANTHROPOLOGY GOES TO THE MOVIES,01:070:367,90,05623
POWER & DIFFERENCE,01:070:376,01,05624
ADVANCED ISSUES IN CULTURAL             ANTHROPOLOGY,01:070:382,01,18079
INTERNSHIP IN ANTHROPOLOGY,01:070:386,01,05625
PRIMATE CONSERVATION BIOLOGY,01:070:402,01,05627
DOCUMENTING LATINO LIVES,01:070:407,01,05628
VIDEO PRODUCTION LAB FOR LATINO LIVES,01:070:408,01,05629
WRITING ETHNOGRAPHY,01:070:417,01,05632
IND STUDY IN ANTHRO,01:070:496,01,05633
HONORS IN ANTHRO,01:070:498,01,05634
HONORS IN ANTHRO,01:070:498,02,05635
